2021-09-17 01:09:46,156 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='2', did='d1', grain_alpha='5', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09170109')
2021-09-17 01:09:46,172 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-17 01:09:47,200 - INFO - Finish generate valuations and costs using using a=2
2021-09-17 01:09:47,575 - INFO - information of the network: 
 node, degree, visibility, valuation, cost 
i, 15, 83, 0.5647750229568411, 0.4352249770431589 
i, 23, 103, 0.6595408631772268, 0.3404591368227732 
i, 21, 98, 0.6351606978879707, 0.3648393021120293 
i, 11, 68, 0.4985215794306703, 0.5014784205693297 
i, 10, 57, 0.4525619834710744, 0.5474380165289257 
i, 9, 46, 0.40882460973370066, 0.5911753902662993 
i, 15, 78, 0.5422314049586776, 0.4577685950413224 
i, 16, 86, 0.5785215794306704, 0.4214784205693296 
i, 10, 53, 0.43640036730945825, 0.5635996326905417 
i, 17, 97, 0.6303397612488522, 0.36966023875114784 
i, 8, 65, 0.4857667584940313, 0.5142332415059687 
i, 12, 62, 0.4731772268135904, 0.5268227731864096 
i, 11, 73, 0.5201469237832874, 0.4798530762167126 
i, 19, 104, 0.6644719926538109, 0.33552800734618915 
i, 8, 66, 0.48999999999999994, 0.51 
i, 12, 90, 0.5971074380165289, 0.4028925619834711 
i, 21, 103, 0.6595408631772268, 0.3404591368227732 
i, 10, 79, 0.5467033976124885, 0.45329660238751146 
i, 10, 78, 0.5422314049586776, 0.4577685950413224 
i, 11, 91, 0.6017998163452709, 0.3982001836547291 
i, 9, 92, 0.6065105601469238, 0.39348943985307616 
i, 9, 69, 0.502809917355372, 0.49719008264462805 
i, 13, 56, 0.44849403122130393, 0.5515059687786961 
i, 17, 124, 0.766951331496786, 0.23304866850321404 
i, 5, 30, 0.3491735537190083, 0.6508264462809916 
i, 6, 51, 0.4284297520661157, 0.5715702479338842 
i, 17, 74, 0.5245270890725436, 0.47547291092745636 
i, 15, 64, 0.4815518824609734, 0.5184481175390265 
i, 7, 40, 0.3859044995408632, 0.6140955004591369 
i, 3, 16, 0.3008356290174472, 0.6991643709825528 
i, 7, 52, 0.43240587695133154, 0.5675941230486685 
i, 13, 81, 0.555702479338843, 0.444297520661157 
i, 10, 38, 0.3784113865932047, 0.6215886134067953 
i, 10, 45, 0.4049586776859504, 0.5950413223140496 
i, 7, 49, 0.42053259871441684, 0.5794674012855832 
i, 17, 99, 0.6400000000000001, 0.3599999999999999 
i, 3, 18, 0.3075206611570248, 0.6924793388429752 
i, 12, 71, 0.5114416896235078, 0.4885583103764922 
i, 5, 19, 0.31089072543618, 0.68910927456382 
i, 10, 60, 0.4648760330578513, 0.5351239669421487 
