2021-09-18 03:10:37,750 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2', did='d2', grain_alpha='10', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09180310')
2021-09-18 03:10:37,947 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=306, len_R=306 
                             percent_S=0.25, num_S=306, len_S=306
2021-09-18 03:10:39,149 - INFO - Finish generate valuations and costs using using a=2
2021-09-18 03:10:40,612 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.15000000000000002); tilderR=(203) tilderS=(7); result=((301,), 34527); rev=5179.050000000001
2021-09-18 03:10:40,856 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.18000000000000005); tilderR=(203) tilderS=(8); result=((301,), 34527); rev=4143.24
2021-09-18 03:10:41,151 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.21000000000000005); tilderR=(203) tilderS=(10); result=((301,), 34527); rev=3107.43
2021-09-18 03:10:41,527 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.24000000000000005); tilderR=(203) tilderS=(13); result=((301,), 34527); rev=2071.62
2021-09-18 03:10:42,177 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.2700000000000001); tilderR=(203) tilderS=(23); result=((301,), 34527); rev=1035.809999999999
2021-09-18 03:10:43,067 - INFO - compute: budget=1; scheme=(0.30000000000000004,0.30000000000000004); tilderR=(203) tilderS=(30); result=((301,), 34527); rev=0.0
2021-09-18 03:10:43,068 - INFO - load: budget=1; scheme=(0.4,0.0); tilderR=(161) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:43,100 - INFO - compute: budget=1; scheme=(0.4,0.04000000000000001); tilderR=(161) tilderS=(1); result=({739}, 2565); rev=923.4
2021-09-18 03:10:43,101 - INFO - load: budget=1; scheme=(0.4,0.08000000000000002); tilderR=(161) tilderS=(2); result=((301,), 24256); rev=7761.92
2021-09-18 03:10:43,182 - INFO - compute: budget=1; scheme=(0.4,0.12000000000000002); tilderR=(161) tilderS=(3); result=((301,), 24256); rev=6791.68
2021-09-18 03:10:43,184 - INFO - load: budget=1; scheme=(0.4,0.16000000000000003); tilderR=(161) tilderS=(8); result=((301,), 24256); rev=5821.44
