0.3	0.9	(0.30000000000000004,0.9)	150,	440		150	440		150, 49	861		46, 150	796		150, 149, 49	1175		46, 49, 150	1163		1, 150, 149, 49	1468		46, 49, 150, 1	1450
0.3	1	(0.30000000000000004,1.0)	150,	440		150	440		150, 49	861		46, 150	796		150, 149, 49	1175		46, 49, 150	1163		1, 150, 149, 49	1468		46, 49, 150, 1	1450
0.4	0.3	(0.4,0.30000000000000004)	109,	187		109	187		17, 109	332		17, 109	332		17, 172, 109	470		17, 172, 109	470		17, 172, 109	470		17, 172, 109	470
0.4	0.4	(0.4,0.4)	109,	187		109	187		17, 109	332		17, 109	332		17, 172, 109	470		17, 172, 109	470		17, 172, 109	470		17, 172, 109	470
0.4	0.5	(0.4,0.5)	49,	292		49	292		205, 49	505		49, 205	505		172, 205, 49	620		49, 109, 205	541		172, 205, 17, 49	714		49, 109, 205, 17	635
0.4	0.6	(0.4,0.6000000000000001)	49,	292		49	292		205, 49	505		49, 169	500		169, 205, 49	695		49, 169, 205	695		167, 169, 205, 49	879		49, 109, 169, 205	731
0.4	0.7	(0.4,0.7000000000000001)	49,	292		49	292		49, 205	505		49, 169	500		49, 205, 125	706		49, 169, 205	695		169, 49, 205, 125	896		49, 125, 169, 205	896
0.4	0.8	(0.4,0.8)	49,	292		49	292		150, 49	568		49, 1	499		150, 49, 205	781		49, 150, 1	775		1, 150, 49, 205	988		169, 49, 150, 1	963
0.4	0.9	(0.4,0.9)	49,	292		49	292		150, 49	568		49, 1	499		150, 149, 49	783		46, 49, 1	738		1, 150, 149, 49	990		46, 49, 150, 1	970
0.4	1	(0.4,1.0)	49,	292		49	292		150, 49	568		49, 1	499		150, 149, 49	783		46, 49, 1	738		1, 150, 149, 49	990		46, 49, 150, 1	970
0.5	0.3	(0.5,0.30000000000000004)	109,	73		109	73		17, 109	125		17, 109	125		17, 172, 109	173		17, 172, 109	173		17, 172, 109	173		17, 172, 109	173
0.5	0.4	(0.5,0.4)	109,	73		109	73		17, 109	125		17, 109	125		17, 172, 109	173		17, 172, 109	173		17, 172, 109	173		17, 172, 109	173
0.5	0.5	(0.5,0.5)	49,	107		49	107		205, 49	189		49, 205	189		172, 205, 49	229		49, 109, 205	203		161, 172, 205, 49	264		49, 109, 161, 205	238
0.5	0.6	(0.5,0.6000000000000001)	49,	107		49	107		205, 49	189		49, 205	189		167, 205, 49	255		49, 169, 205	246		167, 169, 205, 49	312		49, 109, 169, 205	260
0.5	0.7	(0.5,0.7000000000000001)	49,	107		49	107		49, 205	189		49, 205	189		167, 49, 205	255		49, 169, 205	246		167, 169, 49, 205	312		49, 109, 169, 205	260
0.5	0.8	(0.5,0.8)	49,	107		49	107		150, 49	201		49, 1	180		150, 49, 205	283		49, 150, 1	274		1, 150, 49, 205	356		49, 150, 205, 1	356
0.5	0.9	(0.5,0.9)	49,	107		49	107		150, 49	201		49, 1	180		150, 49, 205	283		49, 150, 1	274		1, 150, 49, 205	356		46, 49, 150, 1	333
0.5	1	(0.5,1.0)	49,	107		49	107		150, 49	201		49, 1	180		150, 49, 205	283		49, 150, 1	274		1, 150, 49, 205	356		46, 49, 150, 1	333
0.6	0.3	(0.6000000000000001,0.30000000000000004)	109,	11		109	11		17, 109	20		17, 109	20		17, 172, 109	23		17, 172, 109	23		17, 172, 109	23		17, 172, 109	23
0.6	0.4	(0.6000000000000001,0.4)	109,	11		109	11		17, 109	20		17, 109	20		17, 172, 109	23		17, 172, 109	23		17, 172, 109	23		17, 172, 109	23
0.6	0.5	(0.6000000000000001,0.5)	49,	22		49	22		205, 49	35		49, 205	35		205, 49, 146	43		49, 109, 205	37		205, 17, 49, 146	49		49, 109, 205, 146	45
0.6	0.6	(0.6000000000000001,0.6000000000000001)	49,	22		49	22		169, 49	37		49, 169	37		169, 205, 49	49		49, 169, 31	42		169, 205, 17, 49	55		49, 169, 205, 31	54
0.6	0.7	(0.6000000000000001,0.7000000000000001)	49,	22		49	22		169, 49	37		49, 169	37		169, 49, 205	49		49, 169, 205	49		33, 169, 49, 205	58		49, 169, 205, 31	54
0.6	0.8	(0.6000000000000001,0.8)	49,	22		49	22		1, 169	38		49, 1	36		1, 169, 49	51		49, 169, 1	51		1, 169, 49, 205	63		49, 169, 1, 47	57
0.6	0.9	(0.6000000000000001,0.9)	49,	22		49	22		46, 49	39		49, 1	36		1, 46, 49	53		46, 49, 1	53		1, 46, 49, 205	65		46, 49, 169, 1	57
0.6	1	(0.6000000000000001,1.0)	49,	22		49	22		46, 49	39		49, 1	36		1, 46, 49	53		46, 49, 1	53		1, 46, 49, 205	65		46, 49, 169, 1	57
0.7	0.3	(0.7000000000000001,0.30000000000000004)	109,	11		109	11		17, 109	20		17, 109	20		17, 172, 109	23		17, 172, 109	23		17, 172, 109	23		17, 172, 109	23
0.7	0.4	(0.7000000000000001,0.4)	109,	11		109	11		17, 109	20		17, 109	20		17, 172, 109	23		17, 172, 109	23		17, 172, 109	23		17, 172, 109	23
0.7	0.5	(0.7000000000000001,0.5)	49,	22		49	22		205, 49	35		49, 205	35		205, 49, 146	43		49, 109, 205	37		205, 17, 49, 146	49		49, 109, 205, 146	45
0.7	0.6	(0.7000000000000001,0.6000000000000001)	49,	22		49	22		169, 49	37		49, 169	37		169, 205, 49	49		49, 169, 31	42		169, 205, 17, 49	55		49, 169, 205, 31	54
0.7	0.7	(0.7000000000000001,0.7000000000000001)	49,	22		49	22		169, 49	37		49, 169	37		169, 49, 205	49		49, 169, 205	49		33, 169, 49, 205	58		49, 169, 205, 31	54
0.7	0.8	(0.7000000000000001,0.8)	49,	22		49	22		1, 169	38		49, 1	36		1, 169, 49	51		49, 169, 1	51		1, 169, 49, 205	63		49, 169, 1, 47	57
0.7	0.9	(0.7000000000000001,0.9)	49,	22		49	22		46, 49	39		49, 1	36		1, 46, 49	53		46, 49, 1	53		1, 46, 49, 205	65		46, 49, 169, 1	57
0.7	1	(0.7000000000000001,1.0)	49,	22		49	22		46, 49	39		49, 1	36		1, 46, 49	53		46, 49, 1	53		1, 46, 49, 205	65		46, 49, 169, 1	57
