2021-09-18 02:51:06,021 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2', did='d2', grain_alpha='5', grain_p='5', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09180251')
2021-09-18 02:51:06,221 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=306, len_R=306 
                             percent_S=0.25, num_S=306, len_S=306
2021-09-18 02:51:07,472 - INFO - Finish generate valuations and costs using using a=2
2021-09-18 02:51:16,086 - INFO - load: budget=2; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:51:16,087 - INFO - load: budget=2; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:51:16,087 - INFO - load: budget=2; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:51:16,087 - INFO - load: budget=2; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:51:16,088 - INFO - load: budget=2; scheme=(0.2,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:51:16,126 - INFO - compute: budget=2; scheme=(0.2,0.04000000000000001); tilderR=(306) tilderS=(1); result=({739}, 9169); rev=1467.04
2021-09-18 02:51:16,190 - INFO - compute: budget=2; scheme=(0.2,0.08000000000000002); tilderR=(306) tilderS=(2); result=({739, 301}, 67630); rev=8115.599999999999
2021-09-18 02:51:16,376 - INFO - compute: budget=2; scheme=(0.2,0.12000000000000002); tilderR=(306) tilderS=(3); result=((301, 677), 69877); rev=5590.159999999999
2021-09-18 02:51:18,027 - INFO - compute: budget=2; scheme=(0.2,0.16000000000000003); tilderR=(306) tilderS=(8); result=((301, 63), 86455); rev=3458.1999999999985
2021-09-18 02:51:20,648 - INFO - compute: budget=2; scheme=(0.2,0.2); tilderR=(306) tilderS=(10); result=((301, 63), 86455); rev=0.0
2021-09-18 02:51:20,661 - INFO - compute: budget=2; scheme=(0.4,0.0); tilderR=(161) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 02:51:20,701 - INFO - compute: budget=2; scheme=(0.4,0.08000000000000002); tilderR=(161) tilderS=(2); result=({739, 301}, 26139); rev=8364.48
2021-09-18 02:51:21,670 - INFO - compute: budget=2; scheme=(0.4,0.16000000000000003); tilderR=(161) tilderS=(8); result=((301, 63), 33759); rev=8102.16
2021-09-18 02:51:24,355 - INFO - compute: budget=2; scheme=(0.4,0.24000000000000005); tilderR=(161) tilderS=(13); result=((301, 63), 33759); rev=5401.44
