2021-09-18 03:50:34,771 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='3', did='d2', grain_alpha='20', grain_p='20', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09180350')
2021-09-18 03:50:34,961 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=306, len_R=306 
                             percent_S=0.25, num_S=306, len_S=306
2021-09-18 03:50:36,280 - INFO - Finish generate valuations and costs using using a=2
2021-09-18 03:50:37,319 - INFO - compute: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,320 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,320 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,321 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,321 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,322 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,322 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,323 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,323 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,323 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,324 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,324 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,324 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,325 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,325 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,325 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,326 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,326 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,327 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,327 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,327 - INFO - load: budget=3; scheme=(0.0,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,328 - INFO - load: budget=3; scheme=(0.05,0.0); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,328 - INFO - load: budget=3; scheme=(0.05,0.0025000000000000005); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,328 - INFO - load: budget=3; scheme=(0.05,0.005000000000000001); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,329 - INFO - load: budget=3; scheme=(0.05,0.0075000000000000015); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,329 - INFO - load: budget=3; scheme=(0.05,0.010000000000000002); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,330 - INFO - load: budget=3; scheme=(0.05,0.0125); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,330 - INFO - load: budget=3; scheme=(0.05,0.015000000000000003); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,331 - INFO - load: budget=3; scheme=(0.05,0.0175); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,331 - INFO - load: budget=3; scheme=(0.05,0.020000000000000004); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:50:37,332 - INFO - load: budget=3; scheme=(0.05,0.022500000000000003); tilderR=(306) tilderS=(0); result=(set(), 0); rev=0.0
