2021-09-25 16:18:20,757 - INFO - run algo
2021-09-25 16:18:20,770 - INFO - 217
2021-09-25 16:18:20,771 - INFO - 217
2021-09-25 16:18:20,775 - INFO - load:
2021-09-25 16:18:20,776 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-25 16:18:21,331 - INFO - Finish generate valuations and costs using using gamma=2.0
2021-09-25 16:18:21,947 - INFO - load | 2 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:21,947 - INFO - load | 2 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:21,947 - INFO - load | 2 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:21,947 - INFO - load | 2 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:21,947 - INFO - load | 2 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:21,948 - INFO - load | 2 | (0.2,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:21,948 - INFO - load | 2 | (0.2,0.04000000000000001) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:21,948 - INFO - load | 2 | (0.2,0.08000000000000002) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:21,952 - INFO - compute | 2 | (0.2,0.12000000000000002) | 55 | 1 | {168} | 631| 50.47999999999999 | 631 
2021-09-25 16:18:21,958 - INFO - compute | 2 | (0.2,0.16000000000000003) | 55 | 2 | {168, 125} | 1093| 43.71999999999998 | 1093 
2021-09-25 16:18:21,971 - INFO - compute | 2 | (0.2,0.2) | 55 | 3 | (125, 46) | 1375| 0.0 | 700.02854912764 
2021-09-25 16:18:21,973 - INFO - compute | 2 | (0.4,0.0) | 49 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:21,973 - INFO - load | 2 | (0.4,0.08000000000000002) | 49 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:21,979 - INFO - compute | 2 | (0.4,0.16000000000000003) | 49 | 2 | {168, 125} | 898| 215.51999999999998 | 898 
2021-09-25 16:18:22,010 - INFO - compute | 2 | (0.4,0.24000000000000005) | 49 | 5 | (46, 149) | 1151| 184.15999999999997 | 620.2797887970613 
2021-09-25 16:18:22,129 - INFO - compute | 2 | (0.4,0.32000000000000006) | 49 | 10 | (46, 49) | 1202| 96.15999999999995 | 657.9187419651055 
2021-09-25 16:18:22,586 - INFO - compute | 2 | (0.4,0.4) | 49 | 19 | (1, 150) | 1420| 0.0 | 790.9553902662993 
2021-09-25 16:18:22,587 - INFO - compute | 2 | (0.6000000000000001,0.0) | 21 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:22,590 - INFO - compute | 2 | (0.6000000000000001,0.12000000000000002) | 21 | 1 | {168} | 101| 48.48000000000001 | 101 
2021-09-25 16:18:22,603 - INFO - compute | 2 | (0.6000000000000001,0.24000000000000005) | 21 | 5 | (46, 149) | 328| 118.08000000000001 | 215.96966942148757 
2021-09-25 16:18:22,711 - INFO - compute | 2 | (0.6000000000000001,0.3600000000000001) | 21 | 14 | (1, 46) | 396| 95.03999999999999 | 267.93446280991736 
2021-09-25 16:18:23,297 - INFO - compute | 2 | (0.6000000000000001,0.4800000000000001) | 21 | 32 | (1, 150) | 498| 59.76 | 338.1176400367309 
2021-09-25 16:18:24,739 - INFO - compute | 2 | (0.6000000000000001,0.6000000000000001) | 21 | 46 | (1, 150) | 498| 0.0 | 338.1176400367309 
2021-09-25 16:18:24,746 - INFO - compute | 2 | (0.8,0.0) | 3 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:24,747 - INFO - compute | 2 | (0.8,0.16000000000000003) | 3 | 2 | {168, 125} | 12| 7.68 | 12 
2021-09-25 16:18:24,756 - INFO - compute | 2 | (0.8,0.32000000000000006) | 3 | 10 | (46, 62) | 33| 15.84 | 27.55434343434343 
2021-09-25 16:18:24,836 - INFO - compute | 2 | (0.8,0.4800000000000001) | 3 | 32 | (150, 65) | 50| 15.999999999999998 | 41.408080808080804 
2021-09-25 16:18:25,016 - INFO - compute | 2 | (0.8,0.6400000000000001) | 3 | 48 | (150, 109) | 55| 8.799999999999995 | 45.79540863177226 
2021-09-25 16:18:25,246 - INFO - compute | 2 | (0.8,0.8) | 3 | 54 | (150, 109) | 55| 0.0 | 45.79540863177226 
2021-09-25 16:18:25,247 - INFO - compute | 2 | (1.0,0.0) | 0 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:25,247 - INFO - compute | 2 | (1.0,0.2) | 0 | 3 | (168, 125) | 0| 0.0 | 0 
2021-09-25 16:18:25,248 - INFO - compute | 2 | (1.0,0.4) | 0 | 19 | (169, 156) | 0| 0.0 | 0 
2021-09-25 16:18:25,250 - INFO - compute | 2 | (1.0,0.6000000000000001) | 0 | 46 | (214, 125) | 0| 0.0 | 0 
2021-09-25 16:18:25,252 - INFO - compute | 2 | (1.0,0.8) | 0 | 54 | (214, 125) | 0| 0.0 | 0 
2021-09-25 16:18:25,253 - INFO - load | 2 | (1.0,1.0) | 0 | 54 | (214, 125) | 0| 0.0 | 0 
2021-09-25 16:18:25,256 - INFO - compute | 3 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:25,256 - INFO - load | 3 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:25,256 - INFO - load | 3 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:25,256 - INFO - load | 3 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:25,256 - INFO - load | 3 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:25,257 - INFO - load | 3 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:25,257 - INFO - load | 3 | (0.2,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:25,257 - INFO - load | 3 | (0.2,0.04000000000000001) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:25,257 - INFO - load | 3 | (0.2,0.08000000000000002) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:25,261 - INFO - compute | 3 | (0.2,0.12000000000000002) | 55 | 1 | {168} | 631| 50.47999999999999 | 631 
2021-09-25 16:18:25,267 - INFO - compute | 3 | (0.2,0.16000000000000003) | 55 | 2 | {168, 125} | 1093| 43.71999999999998 | 1093 
2021-09-25 16:18:25,274 - INFO - compute | 3 | (0.2,0.2) | 55 | 3 | {168, 125, 46} | 1770| 0.0 | 1770 
2021-09-25 16:18:25,277 - INFO - compute | 3 | (0.4,0.0) | 49 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:25,278 - INFO - load | 3 | (0.4,0.08000000000000002) | 49 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:25,283 - INFO - compute | 3 | (0.4,0.16000000000000003) | 49 | 2 | {168, 125} | 898| 215.51999999999998 | 898 
2021-09-25 16:18:25,322 - INFO - compute | 3 | (0.4,0.24000000000000005) | 49 | 5 | (46, 149, 125) | 1510| 241.59999999999997 | 812.2843985307619 
2021-09-25 16:18:25,722 - INFO - compute | 3 | (0.4,0.32000000000000006) | 49 | 10 | (46, 49, 149) | 1697| 135.75999999999993 | 921.4388888888888 
2021-09-25 16:18:28,874 - INFO - compute | 3 | (0.4,0.4) | 49 | 19 | (1, 149, 150) | 1945| 0.0 | 1070.601395775941 
2021-09-25 16:18:28,875 - INFO - compute | 3 | (0.6000000000000001,0.0) | 21 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:28,877 - INFO - compute | 3 | (0.6000000000000001,0.12000000000000002) | 21 | 1 | {168} | 101| 48.48000000000001 | 101 
2021-09-25 16:18:28,894 - INFO - compute | 3 | (0.6000000000000001,0.24000000000000005) | 21 | 5 | (46, 149, 125) | 431| 155.16000000000003 | 283.4419283746556 
2021-09-25 16:18:29,425 - INFO - compute | 3 | (0.6000000000000001,0.3600000000000001) | 21 | 14 | (1, 46, 49) | 544| 130.56 | 368.86704315886135 
2021-09-25 16:18:37,836 - INFO - compute | 3 | (0.6000000000000001,0.4800000000000001) | 21 | 32 | (1, 150, 49) | 655| 78.6 | 444.8439944903582 
2021-09-25 16:18:59,577 - INFO - compute | 3 | (0.6000000000000001,0.6000000000000001) | 21 | 46 | (1, 150, 205) | 658| 0.0 | 448.32768595041324 
2021-09-25 16:18:59,579 - INFO - compute | 3 | (0.8,0.0) | 3 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:18:59,580 - INFO - compute | 3 | (0.8,0.16000000000000003) | 3 | 2 | {168, 125} | 12| 7.68 | 12 
2021-09-25 16:18:59,607 - INFO - compute | 3 | (0.8,0.32000000000000006) | 3 | 10 | (46, 47, 149) | 43| 20.64 | 35.87555555555555 
2021-09-25 16:19:00,663 - INFO - compute | 3 | (0.8,0.4800000000000001) | 3 | 32 | (17, 150, 65) | 67| 21.439999999999998 | 55.670449954086315 
2021-09-25 16:19:04,584 - INFO - compute | 3 | (0.8,0.6400000000000001) | 3 | 48 | (150, 65, 109) | 74| 11.839999999999995 | 61.678089990817256 
2021-09-25 16:19:09,784 - INFO - compute | 3 | (0.8,0.8) | 3 | 54 | (150, 65, 109) | 74| 0.0 | 61.678089990817256 
2021-09-25 16:19:09,785 - INFO - compute | 3 | (1.0,0.0) | 0 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:19:09,786 - INFO - compute | 3 | (1.0,0.2) | 0 | 3 | {168, 125, 46} | 0| 0.0 | 0 
2021-09-25 16:19:09,788 - INFO - compute | 3 | (1.0,0.4) | 0 | 19 | (169, 156, 125) | 0| 0.0 | 0 
2021-09-25 16:19:09,809 - INFO - compute | 3 | (1.0,0.6000000000000001) | 0 | 46 | (214, 122, 125) | 0| 0.0 | 0 
2021-09-25 16:19:09,845 - INFO - compute | 3 | (1.0,0.8) | 0 | 54 | (214, 122, 125) | 0| 0.0 | 0 
2021-09-25 16:19:09,846 - INFO - load | 3 | (1.0,1.0) | 0 | 54 | (214, 122, 125) | 0| 0.0 | 0 
