2021-09-25 16:16:15,809 - INFO - run algo
2021-09-25 16:16:15,820 - INFO - 217
2021-09-25 16:16:15,821 - INFO - 217
2021-09-25 16:16:15,826 - INFO - load:
2021-09-25 16:16:15,826 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-25 16:16:16,388 - INFO - Finish generate valuations and costs using using gamma=2.0
2021-09-25 16:16:16,774 - INFO - load | 2 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:16:16,774 - INFO - load | 2 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:16:16,774 - INFO - load | 2 | (0.0,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:16:16,774 - INFO - load | 2 | (0.2,0.0) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:16:16,774 - INFO - load | 2 | (0.2,0.04000000000000001) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:16:16,775 - INFO - load | 2 | (0.2,0.08000000000000002) | 55 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:16:16,775 - INFO - load | 2 | (0.2,0.12000000000000002) | 55 | 1 | {168} | 631| 50.47999999999999 | 631 
2021-09-25 16:16:16,775 - INFO - load | 2 | (0.2,0.16000000000000003) | 55 | 2 | {168, 125} | 1093| 43.71999999999998 | 1093 
2021-09-25 16:16:16,776 - INFO - load | 2 | (0.2,0.2) | 55 | 3 | (125, 46) | 1375| 0.0 | 1375 
2021-09-25 16:16:16,776 - INFO - load | 2 | (0.4,0.0) | 49 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:16:16,776 - INFO - load | 2 | (0.4,0.08000000000000002) | 49 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:16:16,776 - INFO - load | 2 | (0.4,0.16000000000000003) | 49 | 2 | {168, 125} | 898| 215.51999999999998 | 898 
2021-09-25 16:16:16,777 - INFO - load | 2 | (0.4,0.24000000000000005) | 49 | 5 | (46, 149) | 1151| 184.15999999999997 | 1151 
2021-09-25 16:16:16,777 - INFO - load | 2 | (0.4,0.32000000000000006) | 49 | 10 | (46, 49) | 1202| 96.15999999999995 | 1202 
2021-09-25 16:16:16,778 - INFO - load | 2 | (0.4,0.4) | 49 | 19 | (1, 150) | 1420| 0.0 | 1420 
2021-09-25 16:16:16,778 - INFO - load | 2 | (0.6000000000000001,0.0) | 21 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:16:16,779 - INFO - load | 2 | (0.6000000000000001,0.12000000000000002) | 21 | 1 | {168} | 101| 48.48000000000001 | 101 
2021-09-25 16:16:16,779 - INFO - load | 2 | (0.6000000000000001,0.24000000000000005) | 21 | 5 | (46, 149) | 328| 118.08000000000001 | 328 
2021-09-25 16:16:16,780 - INFO - load | 2 | (0.6000000000000001,0.3600000000000001) | 21 | 14 | (1, 46) | 396| 95.03999999999999 | 396 
