2021-09-17 02:37:34,256 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='4', did='d1', grain_alpha='10', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09170237')
2021-09-17 02:37:34,272 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-17 02:37:35,293 - INFO - Finish generate valuations and costs using using a=2
2021-09-17 02:37:36,100 - INFO - load: budget=4; scheme=(0.30000000000000004,0.09000000000000002); tilderR=(54) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,103 - INFO - compute: budget=4; scheme=(0.30000000000000004,0.12000000000000002); tilderR=(54) tilderS=(1); result=({168}, 608); rev=109.44000000000001
2021-09-17 02:37:36,107 - INFO - compute: budget=4; scheme=(0.30000000000000004,0.15000000000000002); tilderR=(54) tilderS=(2); result=({168, 125}, 1055); rev=158.25000000000003
2021-09-17 02:37:36,112 - INFO - compute: budget=4; scheme=(0.30000000000000004,0.18000000000000005); tilderR=(54) tilderS=(3); result=({168, 125, 46}, 1714); rev=205.67999999999998
2021-09-17 02:37:36,113 - INFO - load: budget=4; scheme=(0.30000000000000004,0.21000000000000005); tilderR=(54) tilderS=(3); result=({168, 125, 46}, 1714); rev=154.26
2021-09-17 02:37:36,138 - INFO - compute: budget=4; scheme=(0.30000000000000004,0.24000000000000005); tilderR=(54) tilderS=(5); result=((168, 46, 149, 23), 2156); rev=129.35999999999999
2021-09-17 02:37:36,209 - INFO - compute: budget=4; scheme=(0.30000000000000004,0.2700000000000001); tilderR=(54) tilderS=(6); result=((46, 49, 149, 125), 2373); rev=71.18999999999993
2021-09-17 02:37:36,529 - INFO - compute: budget=4; scheme=(0.30000000000000004,0.30000000000000004); tilderR=(54) tilderS=(8); result=((46, 49, 125, 149), 2373); rev=0.0
2021-09-17 02:37:36,531 - INFO - compute: budget=4; scheme=(0.4,0.0); tilderR=(49) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,532 - INFO - load: budget=4; scheme=(0.4,0.04000000000000001); tilderR=(49) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,533 - INFO - load: budget=4; scheme=(0.4,0.08000000000000002); tilderR=(49) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:37:36,536 - INFO - compute: budget=4; scheme=(0.4,0.12000000000000002); tilderR=(49) tilderS=(1); result=({168}, 506); rev=141.68
2021-09-17 02:37:36,540 - INFO - compute: budget=4; scheme=(0.4,0.16000000000000003); tilderR=(49) tilderS=(2); result=({168, 125}, 898); rev=215.51999999999998
2021-09-17 02:37:36,545 - INFO - compute: budget=4; scheme=(0.4,0.2); tilderR=(49) tilderS=(3); result=({168, 125, 46}, 1463); rev=292.6
2021-09-17 02:37:36,567 - INFO - compute: budget=4; scheme=(0.4,0.24000000000000005); tilderR=(49) tilderS=(5); result=((168, 46, 149, 23), 1831); rev=292.96
2021-09-17 02:37:36,633 - INFO - compute: budget=4; scheme=(0.4,0.28); tilderR=(49) tilderS=(6); result=((46, 49, 149, 125), 2038); rev=244.56
2021-09-17 02:37:37,490 - INFO - compute: budget=4; scheme=(0.4,0.32000000000000006); tilderR=(49) tilderS=(10); result=((46, 49, 149, 125), 2038); rev=163.0399999999999
2021-09-17 02:37:41,494 - INFO - compute: budget=4; scheme=(0.4,0.36000000000000004); tilderR=(49) tilderS=(14); result=((1, 46, 49, 149), 2170); rev=86.79999999999995
2021-09-17 02:37:56,981 - INFO - compute: budget=4; scheme=(0.4,0.4); tilderR=(49) tilderS=(19); result=((1, 49, 149, 150), 2423); rev=0.0
