2021-09-19 02:30:39,182 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2,3', did='d1', grain_alpha='20', grain_p='20', method='brute', percent_R='0.25', percent_S='0.25', rev=True, seed='32', sw=False, version='v09190230')
2021-09-19 02:30:39,198 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-19 02:30:39,850 - INFO - Finish generate valuations and costs using using a=2
2021-09-19 02:30:40,138 - INFO - load: budget=1; scheme=(0.15000000000000002,0.030000000000000006); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-19 02:30:40,138 - INFO - load: budget=1; scheme=(0.15000000000000002,0.037500000000000006); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-19 02:30:40,138 - INFO - load: budget=1; scheme=(0.15000000000000002,0.04500000000000001); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-19 02:30:40,138 - INFO - load: budget=1; scheme=(0.15000000000000002,0.05250000000000001); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-19 02:30:40,138 - INFO - load: budget=1; scheme=(0.15000000000000002,0.06000000000000001); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-19 02:30:40,138 - INFO - load: budget=1; scheme=(0.15000000000000002,0.06750000000000002); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-19 02:30:40,138 - INFO - load: budget=1; scheme=(0.15000000000000002,0.07500000000000001); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-19 02:30:40,139 - INFO - load: budget=1; scheme=(0.15000000000000002,0.08250000000000002); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-19 02:30:40,139 - INFO - load: budget=1; scheme=(0.15000000000000002,0.09000000000000002); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-19 02:30:40,139 - INFO - load: budget=1; scheme=(0.15000000000000002,0.09750000000000002); tilderR=(55) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-19 02:30:40,140 - INFO - load: budget=1; scheme=(0.15000000000000002,0.10500000000000002); tilderR=(55) tilderS=(1); result=({168}, 631); rev=28.395
2021-09-19 02:30:40,140 - INFO - load: budget=1; scheme=(0.15000000000000002,0.11250000000000002); tilderR=(55) tilderS=(1); result=({168}, 631); rev=23.662500000000005
2021-09-19 02:30:40,140 - INFO - load: budget=1; scheme=(0.15000000000000002,0.12000000000000002); tilderR=(55) tilderS=(1); result=({168}, 631); rev=18.93
2021-09-19 02:30:40,141 - INFO - load: budget=1; scheme=(0.15000000000000002,0.12750000000000003); tilderR=(55) tilderS=(2); result=((125,), 671); rev=15.097499999999995
2021-09-19 02:30:40,143 - INFO - load: budget=1; scheme=(0.15000000000000002,0.13500000000000004); tilderR=(55) tilderS=(2); result=((125,), 671); rev=10.06499999999999
2021-09-19 02:30:40,143 - INFO - load: budget=1; scheme=(0.15000000000000002,0.14250000000000004); tilderR=(55) tilderS=(2); result=((125,), 671); rev=5.0324999999999855
