did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	2.0	RW	greedy	1	(0.4, 0.0)	{53}	655	334.3144628099174	262.0	262.0
d1	2.0	RW	greedy	2	(0.4, 0.2)	{53, 143}	1385	704.3966483011936	277.0	413.12067033976126
d1	2.0	RW	h1	1	(0.4, 0.0)	{53}	655	334.3144628099174	262.0	262.0
d1	2.0	RW	h1	2	(0.4, 0.15)	{53, 125}	1162	593.4395684113866	290.5	375.78406473829205
d1	2.0	RW	h2	1	(0.4, 0.0)	{53}	655	334.3144628099174	262.0	262.0
d1	2.0	RW	h2	2	(0.4, 0.2)	{53, 143}	1385	704.3966483011936	277.0	413.12067033976126
