did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d4	2.0	RW	greedy	1	(0.6, 0.05)	{53}	949	736.7387581447189	521.9499999999999	532.5630620927641
d4	2.0	RW	greedy	2	(0.6, 0.05)	{53, 125}	1272	993.1585433813443	699.5999999999999	713.5420728309327
d4	2.0	RW	greedy	3	(0.6, 0.05)	{72, 53, 125}	1340	1048.921044453018	737.0	751.5539477773491
d4	2.0	RW	greedy	4	(0.6, 0.05)	{72, 53, 125, 143}	1351	1057.8485564557616	743.0500000000001	757.7075721772119
d4	2.0	RW	h1	1	(0.6, 0.05)	{53}	949	736.7387581447189	521.9499999999999	532.5630620927641
d4	2.0	RW	h1	2	(0.6, 0.05)	{72, 53}	1177	917.4087094907408	647.3499999999999	660.3295645254628
d4	2.0	RW	h1	3	(0.6, 0.05)	{72, 50, 53}	1187	926.0706983024693	652.8499999999999	665.8964650848765
d4	2.0	RW	h1	4	(0.6, 0.05)	{72, 50, 53, 125}	1350	1057.5830332647463	742.5	757.1208483367627
d4	2.0	RW	h2	1	(0.6, 0.05)	{143}	771	594.360409164952	424.04999999999995	432.88197954175234
d4	2.0	RW	h2	2	(0.6, 0.05)	{53, 143}	1228	957.5868377057612	675.4	688.9206581147118
d4	2.0	RW	h2	3	(0.6, 0.05)	{143, 53, 183}	1243	969.3758680555553	683.65	697.3312065972221
d4	2.0	RW	h2	4	(0.6, 0.05)	{72, 143, 53, 183}	1307	1022.0758905606996	718.8499999999999	733.0962054719649
