did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	2.0	A	brute	1	(0.0, 1.0)	(183,)	876	413.79738292011024	-876.0	-413.79738292011024
d1	2.0	A	brute	1	(0.0, 1.0)	(65,)	616	301.9291184573002	-616.0	-301.9291184573002
d1	2.0	A	brute	1	(0.0, 1.0)	(67,)	323	163.09834710743803	-323.0	-163.09834710743803
d1	2.0	A	brute	1	(0.0, 1.0)	(196,)	51	27.27228650137741	-51.0	-27.27228650137741
d1	2.0	A	brute	1	(0.0, 1.0)	(197,)	215	115.56866850321396	-215.0	-115.56866850321396
d1	2.0	A	brute	1	(0.0, 1.0)	(71,)	422	198.44180899908167	-422.0	-198.44180899908167
d1	2.0	A	brute	1	(0.0, 1.0)	(72,)	755	354.3579522497704	-755.0	-354.3579522497704
d1	2.0	A	brute	1	(0.0, 1.0)	(73,)	570	287.52247933884297	-570.0	-287.52247933884297
d1	2.0	A	brute	1	(0.0, 1.0)	(74,)	353	176.80629017447197	-353.0	-176.80629017447197
d1	2.0	A	brute	1	(0.0, 1.0)	(76,)	378	189.4410101010101	-378.0	-189.4410101010101
d1	2.0	A	brute	1	(0.0, 1.0)	(204,)	501	254.91444444444448	-501.0	-254.91444444444448
d1	2.0	A	brute	1	(0.0, 1.0)	(77,)	561	277.25934802571163	-561.0	-277.25934802571163
d1	2.0	A	brute	1	(0.0, 1.0)	(207,)	322	169.10622589531675	-322.0	-169.10622589531675
d1	2.0	A	brute	1	(0.0, 1.0)	(80,)	610	298.9626446280992	-610.0	-298.9626446280992
d1	2.0	A	brute	1	(0.0, 1.0)	(206,)	457	231.72675849403123	-457.0	-231.72675849403123
d1	2.0	A	brute	1	(0.0, 1.0)	(86,)	634	323.5630853994491	-634.0	-323.5630853994491
d1	2.0	A	brute	1	(0.0, 1.0)	(215,)	243	116.1074563820018	-243.0	-116.1074563820018
d1	2.0	A	brute	1	(0.0, 1.0)	(90,)	128	66.25977043158862	-128.0	-66.25977043158862
d1	2.0	A	brute	1	(0.0, 1.0)	(92,)	476	237.28033057851238	-476.0	-237.28033057851238
d1	2.0	A	brute	1	(0.0, 1.0)	(96,)	200	101.7022865013774	-200.0	-101.7022865013774
d1	2.0	A	brute	1	(0.0, 1.0)	(98,)	114	57.71409550045913	-114.0	-57.71409550045913
d1	2.0	A	brute	1	(0.0, 1.0)	(99,)	697	357.1945730027548	-697.0	-357.1945730027548
d1	2.0	A	brute	1	(0.0, 1.0)	(101,)	406	212.29462809917362	-406.0	-212.29462809917362
d1	2.0	A	brute	1	(0.0, 1.0)	(108,)	377	198.25619834710741	-377.0	-198.25619834710741
d1	2.0	A	brute	1	(0.0, 1.0)	(111,)	625	317.8767125803489	-625.0	-317.8767125803489
d1	2.0	A	brute	1	(0.0, 1.0)	(125,)	732	347.4939761248851	-732.0	-347.4939761248851
d1	2.0	A	brute	1	(0.5, 0.0)	(53,)	272	163.40988980716256	136.0	136.0
d1	2.0	A	brute	1	(0.5, 0.5)	(1,)	326	207.69440771349863	0.0	59.15279614325068
d1	2.0	A	brute	1	(0.5, 0.5)	(141,)	137	84.38158861340682	0.0	26.30920569329659
d1	2.0	A	brute	1	(0.5, 0.5)	(13,)	266	170.8381818181818	0.0	47.5809090909091
d1	2.0	A	brute	1	(0.5, 0.5)	(143,)	295	177.66445362718093	0.0	58.66777318640953
d1	2.0	A	brute	1	(0.5, 0.5)	(19,)	183	115.73023875114785	0.0	33.634880624426074
d1	2.0	A	brute	1	(0.5, 0.5)	(148,)	142	84.50303030303029	0.0	28.748484848484857
d1	2.0	A	brute	1	(0.5, 0.5)	(20,)	126	78.15830119375575	0.0	23.920849403122126
d1	2.0	A	brute	1	(0.5, 0.5)	(169,)	201	122.52966942148761	0.0	39.235165289256194
d1	2.0	A	brute	1	(0.5, 0.5)	(44,)	243	151.25982552800733	0.0	45.87008723599634
d1	2.0	A	brute	1	(0.5, 0.5)	(45,)	258	164.7115243342516	0.0	46.6442378328742
d1	2.0	A	brute	1	(0.5, 0.5)	(174,)	133	80.06075298438935	0.0	26.469623507805323
d1	2.0	A	brute	1	(0.5, 0.5)	(173,)	228	144.45422405876948	0.0	41.77288797061526
d1	2.0	A	brute	1	(0.5, 0.5)	(47,)	201	124.88591368227732	0.0	38.05704315886134
d1	2.0	A	brute	1	(0.5, 0.5)	(50,)	224	138.03395775941232	0.0	42.98302112029384
d1	2.0	A	brute	1	(0.5, 0.5)	(53,)	272	163.40988980716256	0.0	54.29505509641872
d1	2.0	A	brute	1	(0.5, 0.5)	(183,)	274	164.43787878787873	0.0	54.781060606060635
d1	2.0	A	brute	1	(0.5, 0.5)	(65,)	229	141.67239669421488	0.0	43.66380165289256
d1	2.0	A	brute	1	(0.5, 0.5)	(67,)	129	82.37094582185492	0.0	23.31452708907254
d1	2.0	A	brute	1	(0.5, 0.5)	(71,)	139	81.5079614325069	0.0	28.74601928374655
d1	2.0	A	brute	1	(0.5, 0.5)	(72,)	232	138.78057851239666	0.0	46.60971074380167
d1	2.0	A	brute	1	(0.5, 0.5)	(73,)	220	141.52052341597795	0.0	39.239738292011026
d1	2.0	A	brute	1	(0.5, 0.5)	(77,)	195	125.30384756657486	0.0	34.84807621671257
d1	2.0	A	brute	1	(0.5, 0.5)	(206,)	196	123.62479338842975	0.0	36.187603305785125
d1	2.0	A	brute	1	(0.5, 0.5)	(80,)	205	131.04638200183655	0.0	36.976808999081726
d1	2.0	A	brute	1	(0.5, 0.5)	(86,)	274	174.289898989899	0.0	49.8550505050505
d1	2.0	A	brute	1	(0.5, 0.5)	(92,)	180	114.46786042240589	0.0	32.766069788797054
d1	2.0	A	brute	1	(0.5, 0.5)	(99,)	304	194.08120293847566	0.0	54.95939853076217
d1	2.0	A	brute	1	(0.5, 0.5)	(111,)	270	171.02701561065197	0.0	49.486492194674014
d1	2.0	A	brute	1	(0.5, 0.5)	(125,)	232	140.75751147842053	0.0	45.62124426078974
d1	2.0	A	brute	1	(0.5, 1.0)	(1,)	326	207.69440771349863	-163.0	-44.694407713498634
d1	2.0	A	brute	1	(0.5, 1.0)	(131,)	90	58.01566574839304	-45.0	-13.01566574839304
d1	2.0	A	brute	1	(0.5, 1.0)	(135,)	71	45.80966023875115	-35.5	-10.30966023875115
d1	2.0	A	brute	1	(0.5, 1.0)	(10,)	120	76.44467401285584	-60.0	-16.44467401285584
d1	2.0	A	brute	1	(0.5, 1.0)	(141,)	137	84.38158861340682	-68.5	-15.88158861340682
d1	2.0	A	brute	1	(0.5, 1.0)	(13,)	266	170.8381818181818	-133.0	-37.838181818181795
d1	2.0	A	brute	1	(0.5, 1.0)	(14,)	164	105.4175022956841	-82.0	-23.417502295684102
d1	2.0	A	brute	1	(0.5, 1.0)	(143,)	295	177.66445362718093	-147.5	-30.164453627180933
d1	2.0	A	brute	1	(0.5, 1.0)	(145,)	81	47.033994490358126	-40.5	-6.5339944903581255
d1	2.0	A	brute	1	(0.5, 1.0)	(19,)	183	115.73023875114785	-91.5	-24.23023875114785
d1	2.0	A	brute	1	(0.5, 1.0)	(148,)	142	84.50303030303029	-71.0	-13.503030303030286
d1	2.0	A	brute	1	(0.5, 1.0)	(20,)	126	78.15830119375575	-63.0	-15.158301193755747
d1	2.0	A	brute	1	(0.5, 1.0)	(22,)	230	147.94101928374658	-115.0	-32.941019283746584
d1	2.0	A	brute	1	(0.5, 1.0)	(152,)	128	83.84061524334254	-64.0	-19.84061524334254
d1	2.0	A	brute	1	(0.5, 1.0)	(24,)	93	60.063296602387524	-46.5	-13.563296602387524
d1	2.0	A	brute	1	(0.5, 1.0)	(27,)	305	198.43123966942147	-152.5	-45.93123966942147
d1	2.0	A	brute	1	(0.5, 1.0)	(29,)	46	28.212378328741966	-23.0	-5.212378328741966
d1	2.0	A	brute	1	(0.5, 1.0)	(32,)	212	137.02404958677687	-106.0	-31.02404958677687
d1	2.0	A	brute	1	(0.5, 1.0)	(33,)	202	130.52664830119377	-101.0	-29.526648301193774
d1	2.0	A	brute	1	(0.5, 1.0)	(169,)	201	122.52966942148761	-100.5	-22.02966942148761
d1	2.0	A	brute	1	(0.5, 1.0)	(41,)	219	142.05656565656565	-109.5	-32.55656565656565
d1	2.0	A	brute	1	(0.5, 1.0)	(44,)	243	151.25982552800733	-121.5	-29.759825528007326
d1	2.0	A	brute	1	(0.5, 1.0)	(45,)	258	164.7115243342516	-129.0	-35.71152433425161
d1	2.0	A	brute	1	(0.5, 1.0)	(174,)	133	80.06075298438935	-66.5	-13.560752984389353
d1	2.0	A	brute	1	(0.5, 1.0)	(173,)	228	144.45422405876948	-114.0	-30.454224058769483
d1	2.0	A	brute	1	(0.5, 1.0)	(47,)	201	124.88591368227732	-100.5	-24.38591368227732
d1	2.0	A	brute	1	(0.5, 1.0)	(50,)	224	138.03395775941232	-112.0	-26.033957759412317
d1	2.0	A	brute	1	(0.5, 1.0)	(53,)	272	163.40988980716256	-136.0	-27.409889807162557
