did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	2.0	W	greedy	1	(0.0, 0.2)	{143}	959	452.702865013774	-191.8	-90.5405730027548
d1	2.0	W	greedy	2	(0.0, 0.2)	{53, 143}	1734	822.8538292011018	-346.8	-164.57076584022036
d1	2.0	W	h1	1	(0.0, 0.0)	{53}	821	390.48921946740137	0.0	0.0
d1	2.0	W	h1	2	(0.0, 0.15)	{53, 125}	1455	692.8445087235997	-218.25	-103.92667630853995
d1	2.0	W	h2	1	(0.0, 0.2)	{143}	959	452.702865013774	-191.8	-90.5405730027548
d1	2.0	W	h2	2	(0.0, 0.2)	{53, 143}	1734	822.8538292011018	-346.8	-164.57076584022036
