did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d4	2.0	I	greedy	1	(0.0, 0.05)	{53}	1308	874.6603223593967	-65.4	-43.73301611796984
d4	2.0	I	greedy	2	(0.0, 0.05)	{53, 125}	1706	1160.7844864540461	-85.30000000000001	-58.03922432270231
d4	2.0	I	greedy	3	(0.0, 0.05)	{72, 53, 125}	1786	1221.3060967506863	-89.30000000000001	-61.06530483753431
d4	2.0	I	greedy	4	(0.0, 0.05)	{72, 53, 125, 143}	1799	1230.9602301954735	-89.95	-61.54801150977368
d4	2.0	I	h1	1	(0.0, 0.05)	{53}	1308	874.6603223593967	-65.4	-43.73301611796984
d4	2.0	I	h1	2	(0.0, 0.05)	{72, 53}	1596	1079.125819830247	-79.80000000000001	-53.95629099151236
d4	2.0	I	h1	3	(0.0, 0.05)	{72, 50, 53}	1607	1088.0913280178331	-80.35000000000001	-54.40456640089166
d4	2.0	I	h1	4	(0.0, 0.05)	{72, 50, 53, 125}	1797	1230.271604938272	-89.85000000000001	-61.513580246913605
d4	2.0	I	h2	1	(0.0, 0.05)	{143}	1079	713.4913301611798	-53.95	-35.674566508058994
d4	2.0	I	h2	2	(0.0, 0.05)	{53, 143}	1660	1124.1668863597395	-83.0	-56.20834431798698
d4	2.0	I	h2	3	(0.0, 0.05)	{143, 53, 183}	1679	1137.4492133916324	-83.95	-56.87246066958162
d4	2.0	I	h2	4	(0.0, 0.05)	{72, 143, 53, 183}	1752	1193.7185678155006	-87.60000000000001	-59.68592839077503
