did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d4	3.0	RI	greedy	1	(0.55, 0.05)	{53}	830	592.0458823499935	415.00000000000006	426.89770588250036
d4	3.0	RI	greedy	2	(0.55, 0.05)	{53, 125}	1119	804.6150009883211	559.5	575.219249950584
d4	3.0	RI	greedy	3	(0.55, 0.05)	{72, 53, 125}	1182	852.808396978833	591.0	607.4595801510584
d4	3.0	RI	greedy	4	(0.55, 0.05)	{72, 53, 125, 143}	1192	860.3903708496465	596.0	612.5804814575176
d4	3.0	RI	h1	1	(0.55, 0.05)	{53}	830	592.0458823499935	415.00000000000006	426.89770588250036
d4	3.0	RI	h1	2	(0.55, 0.05)	{72, 53}	1033	741.1235217355237	516.5000000000001	531.0938239132239
d4	3.0	RI	h1	3	(0.55, 0.05)	{72, 50, 53}	1043	749.2063668992397	521.5000000000001	536.1896816550382
d4	3.0	RI	h1	4	(0.55, 0.05)	{72, 50, 53, 125}	1192	860.891242142549	596.0	612.5554378928725
d4	3.0	RI	h2	1	(0.55, 0.05)	{143}	665	471.0452431537923	332.50000000000006	342.19773784231046
d4	3.0	RI	h2	2	(0.55, 0.05)	{53, 143}	1079	774.4724442719843	539.5	554.7263777864008
d4	3.0	RI	h2	3	(0.55, 0.05)	{72, 53, 143}	1147	826.0650751669825	573.5	589.5467462416509
d4	3.0	RI	h2	4	(0.55, 0.05)	{72, 53, 125, 143}	1192	860.3903708496465	596.0	612.5804814575176
