did	lamb	obj	method	budget	opt_scheme	opt_setM_star	opt_obj_star
d1	1.0	RI	brute	1			
d1	1.0	RI	brute	2			
d1	1.0	RI	brute	3			
d1	1.0	RI	brute	4			
d1	1.0	RI	greedy	1	(0.6, 0.0)	{53}	446.4
d1	1.0	RI	greedy	2	(0.6, 0.1)	{72, 53}	601.5
d1	1.0	RI	greedy	3	(0.6, 0.1)	{72, 53, 125}	842.5
d1	1.0	RI	greedy	4	(0.6, 0.15)	{72, 143, 53, 183}	957.6
d1	1.0	RI	h1	1	(0.6, 0.0)	{53}	446.4
d1	1.0	RI	h1	2	(0.6, 0.1)	{53, 125}	660.5
d1	1.0	RI	h1	3	(0.6, 0.1)	{72, 53, 125}	842.5
d1	1.0	RI	h1	4	(0.6, 0.15)	{72, 53, 125, 143}	963.9
d1	1.0	RI	h2	1	(0.6, 0.0)	{53}	446.4
d1	1.0	RI	h2	2	(0.6, 0.15)	{53, 143}	708.75
d1	1.0	RI	h2	3	(0.6, 0.1)	{72, 53, 125}	842.5
d1	1.0	RI	h2	4	(0.6, 0.15)	{72, 143, 53, 183}	957.6
