did	lamb	obj	method	budget	opt_scheme	opt_setM_star	opt_obj_star
d1	1.0	W	brute	1			
d1	1.0	W	brute	2			
d1	1.0	W	brute	3			
d1	1.0	W	brute	4			
d1	1.0	W	greedy	1	(0.0, 0.15)	{143}	654.38
d1	1.0	W	greedy	2	(0.0, 0.1)	{72, 53}	909.28
d1	1.0	W	greedy	3	(0.0, 0.15)	{143, 53, 183}	1320.28
d1	1.0	W	greedy	4	(0.0, 0.2)	{143, 1, 53, 183}	1780.65
d1	1.0	W	h1	1	(0.0, 0.0)	{53}	562.28
d1	1.0	W	h1	2	(0.0, 0.1)	{53, 125}	996.92
d1	1.0	W	h1	3	(0.0, 0.1)	{72, 53, 125}	1272.29
d1	1.0	W	h1	4	(0.0, 0.15)	{72, 53, 125, 143}	1614.95
d1	1.0	W	h2	1	(0.0, 0.15)	{143}	654.38
d1	1.0	W	h2	2	(0.0, 0.15)	{53, 143}	1186.22
d1	1.0	W	h2	3	(0.0, 0.15)	{143, 53, 183}	1320.28
d1	1.0	W	h2	4	(0.0, 0.15)	{72, 143, 53, 183}	1603.85
