did	lamb	obj	method	budget	opt_scheme	opt_setM_star	opt_obj_star
d1	3.0	W	brute	1	(0.0, 0.4)	(143,)	317.61
d1	3.0	W	brute	2			
d1	3.0	W	brute	3			
d1	3.0	W	brute	4			
d1	3.0	W	greedy	1	(0.0, 0.3)	{143}	317.61
d1	3.0	W	greedy	2	(0.0, 0.3)	{53, 143}	578.9
d1	3.0	W	greedy	3			
d1	3.0	W	greedy	4			
d1	3.0	W	h1	1	(0.0, 0.0)	{53}	275.01
d1	3.0	W	h1	2			
d1	3.0	W	h1	3			
d1	3.0	W	h1	4			
d1	3.0	W	h2	1	(0.0, 0.3)	{143}	317.61
d1	3.0	W	h2	2	(0.0, 0.3)	{53, 143}	578.9
d1	3.0	W	h2	3	(0.0, 0.3)	{72, 53, 143}	736.98
d1	3.0	W	h2	4	(0.0, 0.3)	{72, 53, 125, 143}	790.67
