did	lamb	obj	method	budget	scheme	setM_star	I	W	RI	RW
d1	1.0	W	h2	4	(0.7, 0.3)	{72, 143, 53, 183}	963	730.7	385.2	454.89
d1	1.0	W	h2	4	(0.7, 0.35)	{72, 143, 53, 183}	963	730.7	337.05	418.35
d1	1.0	W	h2	4	(0.7, 0.4)	{72, 143, 53, 183}	963	730.7	288.9	381.82
d1	1.0	W	h2	4	(0.7, 0.45)	{72, 143, 53, 183}	963	730.7	240.75	345.28
d1	1.0	W	h2	4	(0.7, 0.5)	{72, 143, 53, 183}	963	730.7	192.6	308.75
d1	1.0	W	h2	4	(0.7, 0.55)	{72, 143, 53, 183}	963	730.7	144.45	272.21
d1	1.0	W	h2	4	(0.7, 0.6)	{72, 143, 53, 183}	963	730.7	96.3	235.68
d1	1.0	W	h2	4	(0.7, 0.65)	{72, 143, 53, 183}	963	730.7	48.15	199.14
d1	1.0	W	h2	4	(0.7, 0.7)	{72, 143, 53, 183}	963	730.7	0.0	162.61
d1	1.0	W	h2	4	(0.7, 0.75)	{72, 143, 53, 183}	963	730.7	-48.15	126.07
d1	1.0	W	h2	4	(0.7, 0.8)	{72, 143, 53, 183}	963	730.7	-96.3	89.54
d1	1.0	W	h2	4	(0.7, 0.85)	{72, 143, 53, 183}	963	730.7	-144.45	53.0
d1	1.0	W	h2	4	(0.7, 0.9)	{72, 143, 53, 183}	963	730.7	-192.6	16.47
d1	1.0	W	h2	4	(0.7, 0.95)	{72, 143, 53, 183}	963	730.7	-240.75	-20.07
d1	1.0	W	h2	4	(0.7, 1.0)	{72, 143, 53, 183}	963	730.7	-288.9	-56.6
d1	1.0	W	h2	4	(0.75, 0.0)	{53}	171	137.42	128.25	128.25
d1	1.0	W	h2	4	(0.75, 0.05)	{53}	171	137.42	119.7	121.38
d1	1.0	W	h2	4	(0.75, 0.1)	{72, 53, 125}	359	291.21	233.35	240.13
d1	1.0	W	h2	4	(0.75, 0.15)	{72, 143, 53, 183}	435	353.28	261.0	273.26
d1	1.0	W	h2	4	(0.75, 0.2)	{72, 143, 53, 183}	435	353.28	239.25	255.59
d1	1.0	W	h2	4	(0.75, 0.25)	{72, 143, 53, 183}	435	353.28	217.5	237.93
d1	1.0	W	h2	4	(0.75, 0.3)	{72, 143, 53, 183}	435	353.28	195.75	220.27
d1	1.0	W	h2	4	(0.75, 0.35)	{72, 143, 53, 183}	435	353.28	174.0	202.6
d1	1.0	W	h2	4	(0.75, 0.4)	{72, 143, 53, 183}	435	353.28	152.25	184.94
d1	1.0	W	h2	4	(0.75, 0.45)	{72, 143, 53, 183}	435	353.28	130.5	167.28
d1	1.0	W	h2	4	(0.75, 0.5)	{72, 143, 53, 183}	435	353.28	108.75	149.61
d1	1.0	W	h2	4	(0.75, 0.55)	{72, 143, 53, 183}	435	353.28	87.0	131.95
d1	1.0	W	h2	4	(0.75, 0.6)	{72, 143, 53, 183}	435	353.28	65.25	114.28
d1	1.0	W	h2	4	(0.75, 0.65)	{72, 143, 53, 183}	435	353.28	43.5	96.62
d1	1.0	W	h2	4	(0.75, 0.7)	{72, 143, 53, 183}	435	353.28	21.75	78.96
d1	1.0	W	h2	4	(0.75, 0.75)	{72, 143, 53, 183}	435	353.28	0.0	61.29
d1	1.0	W	h2	4	(0.75, 0.8)	{72, 143, 53, 183}	435	353.28	-21.75	43.63
d1	1.0	W	h2	4	(0.75, 0.85)	{72, 143, 53, 183}	435	353.28	-43.5	25.97
d1	1.0	W	h2	4	(0.75, 0.9)	{72, 143, 53, 183}	435	353.28	-65.25	8.3
