did	lamb	obj	method	budget	opt_scheme	opt_setM_star	opt_obj_star
d1	1.0	RW	brute	1			
d1	1.0	RW	brute	2			
d1	1.0	RW	brute	3			
d1	1.0	RW	brute	4			
d1	1.0	RW	greedy	1	(0.6, 0.0)	{53}	446.4
d1	1.0	RW	greedy	2	(0.6, 0.1)	{72, 53}	637.81
d1	1.0	RW	greedy	3	(0.6, 0.1)	{72, 53, 125}	893.15
d1	1.0	RW	greedy	4	(0.6, 0.2)	{143, 1, 53, 183}	1078.02
d1	1.0	RW	h1	1	(0.6, 0.0)	{53}	446.4
d1	1.0	RW	h1	2	(0.6, 0.1)	{53, 125}	700.17
d1	1.0	RW	h1	3	(0.6, 0.1)	{72, 53, 125}	893.15
d1	1.0	RW	h1	4	(0.6, 0.15)	{72, 53, 125, 143}	1060.51
d1	1.0	RW	h2	1	(0.6, 0.0)	{53}	446.4
d1	1.0	RW	h2	2	(0.6, 0.15)	{53, 143}	779.98
d1	1.0	RW	h2	3	(0.6, 0.1)	{72, 53, 125}	893.15
d1	1.0	RW	h2	4	(0.6, 0.15)	{72, 143, 53, 183}	1053.86
