did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	2.0	W	brute	1	(0.0, 0.2)	(143,)	959	452.702865013774	-191.8	-90.5405730027548
d1	2.0	W	greedy	1	(0.0, 0.2)	{143}	959	452.702865013774	-191.8	-90.5405730027548
d1	2.0	W	h1	1	(0.0, 0.0)	{53}	821	390.48921946740137	0.0	0.0
d1	2.0	W	h2	1	(0.0, 0.2)	{143}	959	452.702865013774	-191.8	-90.5405730027548
